,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_verifications,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
34,976581,16/08/2011,within a few hours,100%,82%,3,4,"['email', 'phone']",Maxvorstadt,48.15115,11.57403,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,0.0,"[""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Dryer"", ""Single level home"", ""Dishes and silverware"", ""Backyard"", ""Stove"", ""Host greets you"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Dedicated workspace"", ""Hangers"", ""Washer"", ""Microwave"", ""Iron"", ""Clothing storage: wardrobe"", ""Private entrance"", ""Patio or balcony"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Dishwasher"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Paid parking on premises"", ""Kitchen"", ""Wifi"", ""Toaster""]",$84.00,60,730,60.0,730.0,t,4,4,4,258,4,2,1,19/03/2023,15/09/2024,4.5,5.0,3.5,5.0,4.5,5.0,4.0,f,2,2,0,0,0.22
35,976629,16/08/2011,within a few hours,100%,74%,2,4,"['email', 'phone']",Tudering-Riem,48.11712,11.67722,Private room in villa,Private room,2,1.0,1 private bath,1.0,2.0,"[""BBQ grill"", ""Outdoor furniture"", ""Luggage dropoff allowed"", ""Heating"", ""Free parking on premises"", ""Coffee maker"", ""Children\u2019s books and toys"", ""Dishes and silverware"", ""Backyard"", ""Stove"", ""Bed linens"", ""Fire extinguisher"", ""Hangers"", ""Washer"", ""Microwave"", ""Iron"", ""Free street parking"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Babysitter recommendations"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Clothing storage"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Children\u2019s dinnerware"", ""First aid kit"", ""Pets allowed"", ""Essentials"", ""Dishwasher"", ""Long term stays allowed"", ""Refrigerator"", ""Smoke alarm"", ""Private patio or balcony"", ""Outdoor dining area"", ""Kitchen"", ""Wifi""]",$120.00,1,780,1.0,780.0,t,7,34,64,330,58,8,1,18/05/2012,01/09/2024,4.81,4.86,4.93,4.93,4.9,4.76,4.72,f,1,0,1,0,0.39
36,976581,16/08/2011,within a few hours,100%,82%,3,4,"['email', 'phone']",Maxvorstadt,48.15054,11.57591,Entire rental unit,Entire home/apt,2,2.0,2 baths,2.0,2.0,"[""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Single level home"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Dedicated workspace"", ""Cleaning products"", ""Hangers"", ""Sun loungers"", ""Washer"", ""Microwave"", ""Iron"", ""Freezer"", ""Clothing storage: wardrobe"", ""Private entrance"", ""Dryer \u2013\u00a0In unit"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Essentials"", ""Dishwasher"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Baking sheet"", ""Smoke alarm"", ""Paid parking on premises"", ""Private patio or balcony"", ""Dining table"", ""Private backyard \u2013 Fully fenced"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster""]",$143.00,60,1124,46.5,1124.0,t,0,0,4,139,2,1,1,20/09/2023,01/09/2024,3.0,5.0,3.5,4.5,3.0,5.0,3.5,f,2,2,0,0,0.16
37,982145,17/08/2011,within a few hours,100%,52%,7,30,"['email', 'phone']",Ludwigsvorstadt-Isarvorstadt,48.12541,11.55147,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Outdoor furniture"", ""Heating"", ""Coffee maker"", ""Dishes and silverware"", ""Host greets you"", ""Bed linens"", ""Dedicated workspace"", ""Fire extinguisher"", ""Hangers"", ""TV"", ""Microwave"", ""Iron"", ""Lock on bedroom door"", ""Shared backyard \u2013 Fully fenced"", ""Paid parking off premises"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Outdoor dining area"", ""Kitchen"", ""Wifi""]",$120.00,12,360,12.0,360.0,t,29,59,89,269,27,6,0,21/09/2011,14/01/2024,4.56,4.38,4.19,4.77,4.92,5.0,4.27,f,7,0,7,0,0.17
38,982145,17/08/2011,within a few hours,100%,52%,7,30,"['email', 'phone']",Ludwigsvorstadt-Isarvorstadt,48.12598,11.55346,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Heating"", ""Coffee maker"", ""Dishes and silverware"", ""Host greets you"", ""Dedicated workspace"", ""Fire extinguisher"", ""Hangers"", ""TV"", ""Iron"", ""Lock on bedroom door"", ""Paid parking off premises"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Essentials"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Kitchen"", ""Wifi""]",$95.00,5,300,5.0,300.0,t,21,51,81,261,20,0,0,04/05/2012,04/08/2022,4.67,4.21,4.26,4.42,4.72,4.74,4.37,f,7,0,7,0,0.13
39,982145,17/08/2011,within a few hours,100%,52%,7,30,"['email', 'phone']",Ludwigsvorstadt-Isarvorstadt,48.12407,11.55299,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Heating"", ""Coffee maker"", ""Dishes and silverware"", ""Backyard"", ""Stove"", ""Host greets you"", ""Bed linens"", ""Dedicated workspace"", ""Fire extinguisher"", ""Hangers"", ""TV"", ""Iron"", ""Lock on bedroom door"", ""Paid parking off premises"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Extra pillows and blankets"", ""Essentials"", ""Dishwasher"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Kitchen"", ""Wifi""]",$90.00,7,360,7.0,360.0,t,30,60,90,270,25,0,0,26/09/2011,17/09/2023,4.74,4.42,4.21,4.54,4.83,4.92,4.21,f,7,0,7,0,0.16
40,982145,17/08/2011,within a few hours,100%,52%,7,30,"['email', 'phone']",Ludwigsvorstadt-Isarvorstadt,48.124,11.55192,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Heating"", ""Coffee maker"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Bed linens"", ""Dedicated workspace"", ""Fire extinguisher"", ""Hangers"", ""Ethernet connection"", ""TV"", ""Microwave"", ""Iron"", ""Lock on bedroom door"", ""Shared backyard \u2013 Fully fenced"", ""Paid parking off premises"", ""Bathtub"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Extra pillows and blankets"", ""First aid kit"", ""Essentials"", ""Dishwasher"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Kitchen"", ""Wifi""]",$120.00,3,340,3.0,340.0,t,25,55,85,175,16,0,0,02/08/2012,07/04/2023,4.93,4.75,4.56,4.75,5.0,4.94,4.63,f,7,0,7,0,0.11
41,986859,18/08/2011,within a few hours,100%,83%,1,1,"['email', 'phone']",Hadern,48.12583,11.48152,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Heating"", ""Free parking on premises"", ""TV with standard cable"", ""Essentials"", ""Wifi"", ""Elevator""]",$67.00,1,14,1.0,14.0,t,13,32,61,322,252,35,2,29/09/2011,01/09/2024,4.89,4.86,4.86,4.9,4.83,4.5,4.69,f,1,0,1,0,1.59
42,987114,18/08/2011,within an hour,100%,100%,1,1,"['email', 'phone']",Ramersdorf-Perlach,48.11322,11.62443,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""HDTV"", ""Luggage dropoff allowed"", ""Outdoor furniture"", ""Coffee maker: french press"", ""Hot water kettle"", ""Amica refrigerator"", ""Dishes and silverware"", ""Blender"", ""Stove"", ""Host greets you"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""Sun loungers"", ""Paid dryer \u2013 In building"", ""Iron"", ""Garden view"", ""Free street parking"", ""Free washer \u2013 In building"", ""Cooking basics"", ""Hot water"", ""Cleaning available during stay"", ""Hair dryer"", ""Pets allowed"", ""Shower gel"", ""Extra pillows and blankets"", ""BBQ grill: charcoal"", ""Coffee"", ""Essentials"", ""Drying rack for clothing"", ""Shampoo"", ""Books and reading material"", ""Baking sheet"", ""Smoke alarm"", ""Central heating"", ""Tischbackofen oven"", ""Private patio or balcony"", ""Dining table"", ""Private backyard \u2013 Fully fenced"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Toaster"", ""Clothing storage: closet and dresser""]",$116.00,2,10,2.0,1125.0,t,2,2,19,40,59,28,2,22/06/2022,24/09/2024,4.9,4.93,4.98,5.0,4.98,4.85,4.81,f,1,1,0,0,2.14
43,988620,18/08/2011,within a few hours,100%,100%,2,2,"['email', 'phone']",Neuhausen-Nymphenburg,48.15883,11.54617,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Beach essentials"", ""Heating"", ""Coffee maker"", ""Dryer"", ""Courtyard view"", ""Dishes and silverware"", ""Stainless steel gas stove"", ""Host greets you"", ""Elevator"", ""Bed linens"", ""Dedicated workspace"", ""Fire extinguisher"", ""Hangers"", ""Portable air conditioning"", ""Washer"", ""Microwave"", ""Iron"", ""Garden view"", ""Lock on bedroom door"", ""Shared backyard \u2013 Fully fenced"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Extra pillows and blankets"", ""First aid kit"", ""Essentials"", ""Dishwasher"", ""Long term stays allowed"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Kitchen"", ""Wifi""]",$89.00,3,28,3.0,28.0,t,0,16,34,54,259,12,0,03/11/2011,18/08/2024,4.87,4.91,4.98,4.88,4.89,4.82,4.81,f,2,0,2,0,1.65
44,988620,18/08/2011,within a few hours,100%,100%,2,2,"['email', 'phone']",Neuhausen-Nymphenburg,48.15865,11.54134,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Beach essentials"", ""Heating"", ""Coffee maker"", ""Courtyard view"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Elevator"", ""Bed linens"", ""Shared patio or balcony"", ""Dedicated workspace"", ""Fire extinguisher"", ""Hangers"", ""Washer"", ""Microwave"", ""Iron"", ""Air conditioning"", ""Garden view"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Dryer \u2013\u00a0In unit"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Extra pillows and blankets"", ""First aid kit"", ""Essentials"", ""Dishwasher"", ""Long term stays allowed"", ""Refrigerator"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Kitchen"", ""Wifi""]",$89.00,3,28,3.0,28.0,t,4,27,34,58,101,10,0,20/09/2011,06/08/2024,4.91,4.99,4.98,4.95,4.99,4.82,4.89,f,2,0,2,0,0.64
46,1009438,23/08/2011,within an hour,100%,100%,12,15,"['email', 'phone']",Bogenhausen,48.13909,11.60832,Entire rental unit,Entire home/apt,8,1.0,1 bath,3.0,4.0,"[""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Siemens stainless steel electric stove"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Crib"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Hangers"", ""Fire extinguisher"", ""Microwave"", ""Iron"", ""Free street parking"", ""Room-darkening shades"", ""Shared backyard \u2013 Fully fenced"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""DM body soap"", ""Hot water"", ""Oven"", ""Hair dryer"", ""High chair"", ""Shower gel"", ""First aid kit"", ""Essentials"", ""Dishwasher"", ""Paid street parking off premises"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Refrigerator"", ""Baking sheet"", ""Safe"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Private patio or balcony"", ""Dining table"", ""Kitchen"", ""42 inch HDTV with standard cable"", ""Wifi"", ""Mini fridge"", ""Toaster""]",$416.00,1,1125,1.0,1125.0,t,3,7,9,193,645,86,6,19/03/2012,18/09/2024,4.68,4.79,4.71,4.82,4.87,4.88,4.64,f,9,9,0,0,4.23
47,1009438,23/08/2011,within an hour,100%,100%,12,15,"['email', 'phone']",Bogenhausen,48.13909,11.60832,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Single level home"", ""Keypad"", ""Self check-in"", ""Dishes and silverware"", ""Crib"", ""Wine glasses"", ""Bed linens"", ""Outdoor playground"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Hangers"", ""Fire extinguisher"", ""Microwave"", ""Iron"", ""Freezer"", ""Free street parking"", ""Room-darkening shades"", ""Shared backyard \u2013 Fully fenced"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Cleaning available during stay"", ""Hair dryer"", ""High chair"", ""Shower gel"", ""First aid kit"", ""Pets allowed"", ""Essentials"", ""Dishwasher"", ""Paid street parking off premises"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Refrigerator"", ""Baking sheet"", ""Safe"", ""Smoke alarm"", ""No name body soap"", ""Dining table"", ""Ceiling fan"", ""Kitchen"", ""42 inch HDTV with standard cable"", ""Wifi"", ""AEG stainless steel electric stove"", ""Toaster""]",$122.00,1,1125,1.3,1125.0,t,5,12,27,195,564,73,5,05/07/2012,24/09/2024,4.69,4.8,4.72,4.79,4.88,4.86,4.67,f,9,9,0,0,3.79
48,1009438,23/08/2011,within an hour,100%,100%,12,15,"['email', 'phone']",Bogenhausen,48.13909,11.60832,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Heating"", ""Toaster"", ""Hot water kettle"", ""Lockbox"", ""Siemens electric stove"", ""Self check-in"", ""Dishes and silverware"", ""Crib - available upon request"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""Coffee maker: pour-over coffee"", ""Laundromat nearby"", ""Pack \u2019n play/Travel crib - available upon request"", ""Microwave"", ""Iron"", ""Freezer"", ""Free street parking"", ""Room-darkening shades"", ""Shared backyard \u2013 Fully fenced"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""High chair"", ""Shower gel"", ""First aid kit"", ""Essentials"", ""Dishwasher"", ""Window guards"", ""Paid street parking off premises"", ""Long term stays allowed"", ""Shampoo"", ""Baking sheet"", ""Safe"", ""Smoke alarm"", ""Siemens refrigerator"", ""Dining table"", ""Kitchen"", ""Wifi"", ""Body soap"", ""Clothing storage: dresser"", ""36 inch HDTV with standard cable""]",$225.00,1,1125,1.1,1125.0,t,3,12,19,249,819,97,9,20/03/2012,20/09/2024,4.63,4.75,4.67,4.77,4.84,4.8,4.55,f,9,9,0,0,5.37
49,1009438,23/08/2011,within an hour,100%,100%,12,15,"['email', 'phone']",Bogenhausen,48.13909,11.60832,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,4.0,"[""Hot water kettle"", ""Siemens stainless steel electric stove"", ""Single level home"", ""Lockbox"", ""Courtyard view"", ""Self check-in"", ""Dishes and silverware"", ""Crib"", ""Wine glasses"", ""Bed linens"", ""Outdoor playground"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Hangers"", ""Fire extinguisher"", ""Coffee maker: pour-over coffee"", ""Microwave"", ""Iron"", ""Freezer"", ""Free street parking"", ""Room-darkening shades"", ""Shared backyard \u2013 Fully fenced"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""DM body soap"", ""Hot water"", ""Oven"", ""Cleaning available during stay"", ""Hair dryer"", ""High chair"", ""Shower gel"", ""First aid kit"", ""Essentials"", ""Dishwasher"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Baking sheet"", ""Safe"", ""Central heating"", ""Smoke alarm"", ""Siemens refrigerator"", ""Dining table"", ""Ceiling fan"", ""Kitchen"", ""42 inch HDTV with standard cable"", ""Wifi"", ""Toaster""]",$335.00,1,1125,1.1,1125.0,t,0,4,13,171,744,86,6,13/07/2012,22/09/2024,4.52,4.69,4.6,4.75,4.8,4.81,4.51,f,9,9,0,0,5.01
50,1009438,23/08/2011,within an hour,100%,100%,12,15,"['email', 'phone']",Schwanthalerhöhe,48.13661,11.53075,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,3.0,"[""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Siemens stainless steel electric stove"", ""Single level home"", ""Lockbox"", ""Self check-in"", ""Dishes and silverware"", ""Crib"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Hangers"", ""Fire extinguisher"", ""Siemens stainless steel oven"", ""Microwave"", ""Iron"", ""Freezer"", ""Room-darkening shades"", ""Private entrance"", ""Shared backyard \u2013 Fully fenced"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""DM body soap"", ""Hot water"", ""Hair dryer"", ""High chair"", ""Shower gel"", ""First aid kit"", ""Essentials"", ""Dishwasher"", ""Window guards"", ""Paid street parking off premises"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Baking sheet"", ""Safe"", ""Smoke alarm"", ""Siemens refrigerator"", ""Dining table"", ""Kitchen"", ""Clothing storage: wardrobe and dresser"", ""42 inch HDTV with standard cable"", ""Wifi"", ""Toaster""]",$355.00,1,1125,1.1,1125.0,t,2,5,7,185,892,102,13,15/12/2011,24/09/2024,4.55,4.72,4.57,4.83,4.85,4.64,4.57,f,9,9,0,0,5.73
51,1014517,24/08/2011,within an hour,100%,100%,1,6,"['email', 'phone']",Obergiesing,48.11008,11.59345,Entire condo,Entire home/apt,4,1.0,1 bath,0.0,2.0,"[""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Lockbox"", ""Courtyard view"", ""Self check-in"", ""Dishes and silverware"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Hangers"", ""Ethernet connection"", ""Stainless steel electric stove"", ""Paid dryer \u2013 In building"", ""Microwave"", ""Iron"", ""Garden view"", ""Freezer"", ""Free street parking"", ""Room-darkening shades"", ""HDTV with standard cable"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Pets allowed"", ""Essentials"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Refrigerator"", ""Smoke alarm"", ""Private patio or balcony"", ""Dining table"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Toaster""]",$300.00,10,180,9.4,1095.6,t,10,40,64,94,118,21,2,23/06/2012,05/09/2024,4.88,4.81,4.79,4.87,4.91,4.84,4.66,t,1,1,0,0,0.79
52,1037376,30/08/2011,within a few hours,100%,71%,2,2,"['email', 'phone', 'work_email']",Ludwigsvorstadt-Isarvorstadt,48.12401,11.56119,Private room in condo,Private room,2,1.5,1.5 baths,1.0,1.0,"[""Outdoor furniture"", ""Heating"", ""Hot water kettle"", ""Coffee maker"", ""Courtyard view"", ""Dishes and silverware"", ""Backyard"", ""Host greets you"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Cleaning products"", ""Hangers"", ""Free street parking"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Private entrance"", ""Bathtub"", ""Washer \u2013\u00a0In building"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Electric stove"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""First aid kit"", ""Essentials"", ""Dryer \u2013 In building"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Smoke alarm"", ""Kitchenette"", ""Private patio or balcony"", ""Dining table"", ""Outdoor dining area"", ""Wifi"", ""Body soap""]",$65.00,2,14,2.0,14.0,t,0,0,0,248,87,8,0,21/05/2012,29/07/2024,4.55,4.74,4.53,4.62,4.58,4.67,4.38,f,2,1,1,0,0.58
54,1049489,30/08/2011,within an hour,100%,100%,1,5,"['email', 'phone', 'work_email']",Tudering-Riem,48.13176611,11.7025651,Private room in condo,Private room,2,1.0,1 shared bath,1.0,2.0,"[""Hot water kettle"", ""Single level home"", ""Host greets you"", ""Portable fans"", ""Elevator"", ""Bed linens"", ""Outdoor playground"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""Lake access"", ""Iron"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Bathtub"", ""Hot water"", ""Shared backyard \u2013 Not fully fenced"", ""Hair dryer"", ""Shower gel"", ""First aid kit"", ""City skyline view"", ""Essentials"", ""Coffee"", ""Long term stays allowed"", ""Shampoo"", ""Books and reading material"", ""Smoke alarm"", ""Central heating"", ""Carbon monoxide alarm"", ""Paid parking garage off premises"", ""Theme room"", ""Mini fridge"", ""Body soap"", ""Fast wifi \u2013 56 Mbps"", ""Paid parking lot on premises \u2013 1 space""]",$109.00,1,14,1.0,1125.0,t,19,44,74,180,215,21,1,31/01/2012,02/09/2024,4.81,4.91,4.93,4.94,4.91,4.73,4.64,f,1,0,1,0,1.4
55,1018498,25/08/2011,a few days or more,40%,22%,1,1,"['email', 'phone']",Sendling,48.11954,11.54065,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Smoke alarm"", ""Hot water"", ""Washer"", ""Heating"", ""Hair dryer"", ""Coffee maker"", ""Iron"", ""Essentials"", ""Kitchen"", ""Lock on bedroom door"", ""Dishes and silverware"", ""Wifi"", ""Paid parking off premises"", ""Host greets you"", ""Refrigerator"", ""Smoking allowed"", ""Patio or balcony""]",$106.00,3,90,3.0,90.0,t,8,9,22,181,96,0,0,19/09/2011,18/09/2023,4.74,4.79,4.44,4.9,4.86,4.84,4.68,f,1,0,1,0,0.61
56,37354,09/09/2009,within a few hours,100%,100%,1,1,"['email', 'phone', 'work_email']",Au-Haidhausen,48.13218,11.59383,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Luggage dropoff allowed"", ""Outdoor furniture"", ""Heating"", ""Hot water kettle"", ""Record player"", ""Coffee maker"", ""Single level home"", ""Dishes and silverware"", ""Crib - available upon request"", ""Blender"", ""Host greets you"", ""Portable fans"", ""Wine glasses"", ""Bed linens"", ""Elevator"", ""Dedicated workspace"", ""Cleaning products"", ""Fire extinguisher"", ""Hangers"", ""Ethernet connection"", ""46 inch HDTV with standard cable, Chromecast, Fire TV"", ""Laundromat nearby"", ""Pack \u2019n play/Travel crib - available upon request"", ""Onkyo, Google Chromecast sound system with Bluetooth and aux"", ""Microwave"", ""Iron"", ""Freezer"", ""Fast wifi \u2013 55 Mbps"", ""Room-darkening shades"", ""Free washer \u2013 In building"", ""Clothing storage: wardrobe"", ""Standalone high chair - available upon request"", ""Shared backyard \u2013 Fully fenced"", ""Paid parking off premises"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Shower gel"", ""Extra pillows and blankets"", ""Coffee"", ""Essentials"", ""Dishwasher"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Shampoo"", ""Refrigerator"", ""Books and reading material"", ""Baking sheet"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Barbecue utensils"", ""Bosch stainless steel induction stove"", ""Dining table"", ""Outdoor dining area"", ""Kitchen"", ""Body soap"", ""Toaster""]",$388.00,5,30,5.0,30.0,t,12,42,72,162,20,3,0,30/09/2014,12/12/2023,4.8,4.85,4.55,4.95,5.0,5.0,4.6,f,1,1,0,0,0.16
